Address,City,Price,Beds,Baths,SqFt,Lot Size,Year Built,Sold Date,Listing Status,URL
4854 BIONA Dr,San Diego,1730000,3,1.5,1698,5617,1935,1747897200000,Closed Sale,https://www.redfin.com/CA/San-Diego/4854-Biona-Dr-92116/home/5455910
4873 Vista St,San Diego,2900000,5,3.5,3035,6304,1927,1747983600000,Sold,https://www.redfin.com/CA/San-Diego/4873-Vista-St-92116/home/5456021
4636 Cajon Way,San Diego,1120000,2,2.0,1240,5000,1928,1747206000000,Sold,https://www.redfin.com/CA/San-Diego/4636-Cajon-Way-92115/home/5466794
5173 Ewing St,San Diego,1120000,2,1.0,1246,17600,1980,1748415600000,Closed Sale,https://www.redfin.com/CA/San-Diego/5173-Ewing-St-92115/home/5470663
4779 62Nd St,San Diego,810000,2,1.0,1038,5000,1955,1748934000000,Sold,https://www.redfin.com/CA/San-Diego/4779-62nd-St-92115/home/5473591
4204 Dwight St,San Diego,639500,2,1.0,674,N/A,1938,1748502000000,Sold,https://www.redfin.com/CA/San-Diego/4204-Dwight-St-92105/home/5504812
4306 53Rd St,San Diego,630000,2,1.0,740,5700,1948,1748588400000,Sold,https://www.redfin.com/CA/San-Diego/4306-53rd-St-92115/home/5509280
6304 Lorca Dr,San Diego,899000,3,1.0,1484,9100,1944,1749193200000,Sold,https://www.redfin.com/CA/San-Diego/6304-Lorca-Dr-92115/home/5515353
3926 ARAGON Dr,San Diego,748400,3,2.0,1121,N/A,1951,1748415600000,Sold,https://www.redfin.com/CA/San-Diego/3926-Aragon-Dr-92115/home/5523764
5939 Dwight St,San Diego,749000,2,1.0,780,8800,1951,1745910000000,Closed Sale,https://www.redfin.com/CA/San-Diego/5939-Dwight-St-92105/home/5541073
6516 College Grove Dr Unit 55,San Diego,453000,2,1.0,854,N/A,1981,1743750000000,Sold,https://www.redfin.com/CA/San-Diego/6516-College-Grove-Dr-92115/unit-55/home/5549231
3052 Macaulay St,San Diego,790000,2,2.5,1080,N/A,1975,1748329200000,Sold,https://www.redfin.com/CA/San-Diego/3052-Macaulay-St-92106/home/5733484
1314 Trieste Dr,San Diego,3200000,4,3.0,2751,11800,1998,1747033200000,Sold,https://www.redfin.com/CA/San-Diego/1314-Trieste-Dr-92107/home/5734944
4414 Piedmont Dr,San Diego,1650000,3,3.0,1647,N/A,1955,1745391600000,Sold,https://www.redfin.com/CA/San-Diego/4414-Piedmont-Dr-92107/home/5737384
